Problem,Provider,OperationKind,Operation,Disposition,Status,conv_kind,n,h,w,c,k,r,s,p,q,pad_h,pad_w,stride_h,stride_w,dilation_h,dilation_w,Activation,Filter,Output,conv_mode,iterator_algorithm,alpha,beta,split_k_mode,split_k_slices,eq_gemm_provider,op_class,accum,cta_m,cta_n,cta_k,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Runtime,GB/s,GFLOPs
1,CUTLASS,conv2d,cutlass_tensorop_h1688fprop_optimized_64x128_64x2_nhwc_align4,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,64,128,64,2,1,2,2,16,8,8,75,1024,513835008,26717716480,1.27438,375.514,20965.3
1,CUTLASS,conv2d,cutlass_tensorop_h1688fprop_optimized_64x128_64x2_nhwc_align2,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,64,128,64,2,1,2,2,16,8,8,75,1024,513835008,26717716480,1.38062,346.617,19352
1,CUTLASS,conv2d,cutlass_tensorop_h1688fprop_optimized_64x128_64x2_nhwc_align1,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,64,128,64,2,1,2,2,16,8,8,75,1024,513835008,26717716480,3.23662,147.854,8254.83
1,CUTLASS,conv2d,cutlass_tensorop_h16816fprop_optimized_256x128_32x3_nhwc_align8,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,256,128,32,3,4,2,1,16,8,16,80,1024,513835008,26717716480,1.29738,368.856,20593.6
1,CUTLASS,conv2d,cutlass_tensorop_h16816fprop_optimized_256x128_32x3_nhwc_align4,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,256,128,32,3,4,2,1,16,8,16,80,1024,513835008,26717716480,1.45218,329.536,18398.3
1,CUTLASS,conv2d,cutlass_tensorop_h16816fprop_optimized_256x128_32x3_nhwc_align2,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,256,128,32,3,4,2,1,16,8,16,80,1024,513835008,26717716480,1.56175,306.417,17107.6
1,CUTLASS,conv2d,cutlass_tensorop_h16816fprop_optimized_128x256_32x3_nhwc_align8,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,128,256,32,3,2,4,1,16,8,16,80,1024,513835008,26717716480,1.29023,370.901,20707.8
1,CUTLASS,conv2d,cutlass_tensorop_h16816fprop_optimized_128x256_32x3_nhwc_align4,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,128,256,32,3,2,4,1,16,8,16,80,1024,513835008,26717716480,1.40151,341.449,19063.5
1,CUTLASS,conv2d,cutlass_tensorop_h16816fprop_optimized_128x256_32x3_nhwc_align2,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,128,256,32,3,2,4,1,16,8,16,80,1024,513835008,26717716480,1.32138,362.157,20219.6
1,CUTLASS,conv2d,cutlass_tensorop_h16816fprop_optimized_256x64_32x4_nhwc_align8,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,256,64,32,4,4,1,1,16,8,16,80,1024,513835008,26717716480,1.46594,326.444,18225.7
1,CUTLASS,conv2d,cutlass_tensorop_h16816fprop_optimized_256x64_32x4_nhwc_align4,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,256,64,32,4,4,1,1,16,8,16,80,1024,513835008,26717716480,1.68304,284.334,15874.7
1,CUTLASS,conv2d,cutlass_tensorop_h16816fprop_optimized_256x64_32x4_nhwc_align2,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,256,64,32,4,4,1,1,16,8,16,80,1024,513835008,26717716480,6.82052,70.1627,3917.25
1,CUTLASS,conv2d,cutlass_tensorop_h16816fprop_optimized_64x256_32x4_nhwc_align8,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,64,256,32,4,1,4,1,16,8,16,80,1024,513835008,26717716480,1.27942,374.034,20882.7
1,CUTLASS,conv2d,cutlass_tensorop_h16816fprop_optimized_64x256_32x4_nhwc_align4,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,64,256,32,4,1,4,1,16,8,16,80,1024,513835008,26717716480,1.39337,343.444,19174.9
1,CUTLASS,conv2d,cutlass_tensorop_h16816fprop_optimized_64x256_32x4_nhwc_align2,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,64,256,32,4,1,4,1,16,8,16,80,1024,513835008,26717716480,2.01075,237.994,13287.4
1,CUTLASS,conv2d,cutlass_tensorop_h16816fprop_optimized_128x128_32x3_nhwc_align8,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,128,128,32,3,2,2,1,16,8,16,80,1024,513835008,26717716480,1.28556,372.246,20782.9
1,CUTLASS,conv2d,cutlass_tensorop_h16816fprop_optimized_128x128_32x3_nhwc_align4,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,128,128,32,3,2,2,1,16,8,16,80,1024,513835008,26717716480,1.2867,371.917,20764.5
1,CUTLASS,conv2d,cutlass_tensorop_h16816fprop_optimized_128x128_32x3_nhwc_align2,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,128,128,32,3,2,2,1,16,8,16,80,1024,513835008,26717716480,1.30137,367.724,20530.4
1,CUTLASS,conv2d,cutlass_tensorop_h16816fprop_optimized_128x128_32x4_nhwc_align8,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,128,128,32,4,2,2,1,16,8,16,80,1024,513835008,26717716480,1.27501,375.327,20954.9
1,CUTLASS,conv2d,cutlass_tensorop_h16816fprop_optimized_128x128_32x4_nhwc_align4,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,128,128,32,4,2,2,1,16,8,16,80,1024,513835008,26717716480,1.34219,356.541,19906
1,CUTLASS,conv2d,cutlass_tensorop_h16816fprop_optimized_128x128_32x4_nhwc_align2,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,128,128,32,4,2,2,1,16,8,16,80,1024,513835008,26717716480,1.91885,249.392,13923.8
